"","Gene","p.value","q.value"
"GJB2","GJB2",4.66862469863831e-09,8.01369429521266e-05
"DDIAS","DDIAS",5.94456846365221e-13,1.0203851767859e-08
"TTC8","TTC8",5.6664209196971e-08,0.000972641150866008
"TC2N","TC2N",5.02006074043689e-16,8.61693426095993e-12
"MOAP1","MOAP1",2.4646182621071e-07,0.00423051724690683
"PTER","PTER",1.27475232003598e-11,2.18811235734176e-07
"HACD1","HACD1",1.4575603188404e-07,0.00250190228728954
"ARL5B","ARL5B",2.24540405280349e-08,0.000385423605663718
"RAB8B","RAB8B",9.29632939476306e-17,1.59571494061108e-12
"GABRB3","GABRB3",1.62089972724601e-11,2.78227438181778e-07
"STXBP4","STXBP4",1.86568600225082e-06,0.0320245002286354
"WDR72","WDR72",3.59145892028611e-14,6.1647392366711e-10
"TMX3","TMX3",1.51481298924525e-08,0.000260017649603946
"WEE1","WEE1",1.34465634758602e-07,0.00230810262063141
"RP11.382A20.3","RP11.382A20.3",2.74449964093709e-11,4.71093363366851e-07
"TMEM135","TMEM135",1.65089656184545e-10,2.83376394840772e-06
"ATF7IP2","ATF7IP2",2.05088789630356e-12,3.52034907400507e-08
"NGFRAP1","NGFRAP1",5.1897009547404e-16,8.9081216888119e-12
"ZNF667.AS1","ZNF667.AS1",1.89172699138449e-08,0.000324714938071148
"PBX3","PBX3",4.49813696702112e-07,0.00772105210389175
"UGT1A6","UGT1A6",1.03643718175936e-19,1.77904442248994e-15
"HDHD2","HDHD2",3.32537230832774e-08,0.000570800156724457
"ZNF91","ZNF91",2.48581877328167e-09,4.26690792433798e-05
"ZNF180","ZNF180",4.71074662168676e-13,8.08599657612533e-09
"AXL","AXL",1.80277085970011e-11,3.09445618067524e-07
"KLK5","KLK5",5.92036332759661e-07,0.0101623036518196
"ZNF83","ZNF83",4.12858641857268e-13,7.08671858748001e-09
"MIS12","MIS12",1.30065114017398e-09,2.23256768210863e-05
"PBK","PBK",5.43885729185966e-13,9.3357985414771e-09
"KIAA1586","KIAA1586",1.21914734391263e-06,0.0209266641582604
"BMI1","BMI1",1.10685591458339e-09,1.89991817738238e-05
"MTCL1","MTCL1",5.68294911614832e-07,0.00975478215786859
"TRAPPC11","TRAPPC11",2.3476765951245e-07,0.00402978687553121
"FEM1B","FEM1B",2.66508431383701e-13,4.57461722470122e-09
"ZNF354A","ZNF354A",3.00402818655748e-13,5.15641438222592e-09
"B3GALNT1","B3GALNT1",3.89630181484551e-14,6.68800206518233e-10
"RASSF6","RASSF6",2.61723350049034e-13,4.49248130359167e-09
"SDC2","SDC2",1.8914473799583e-10,3.24666942769843e-06
"CLIC4","CLIC4",3.34107092764635e-10,5.73494824730497e-06
"BNC1","BNC1",2.57134636105178e-06,0.0441371602874537
"ANTXR1","ANTXR1",1.79467977014179e-12,3.08056782544839e-08
"APLF","APLF",2.32140065913877e-06,0.039846842314117
"BUB1","BUB1",1.36349357445844e-11,2.34043672055791e-07
"CSGALNACT2","CSGALNACT2",1.71900775692527e-07,0.00295067681476223
"NANP","NANP",3.65543122432052e-09,6.27454769654618e-05
"ADPRM","ADPRM",2.13364174479065e-07,0.00366239605493316
"CDK1","CDK1",6.68272813738139e-31,1.14709028478152e-26
"SLC30A1","SLC30A1",4.59902663302749e-13,7.89422921559169e-09
"CDH2","CDH2",3.21829329969387e-16,5.52420044892453e-12
"EMB","EMB",6.7067641660992e-10,1.15121606911093e-05
"SDR16C5","SDR16C5",5.21416315046847e-11,8.95011104777913e-07
"KBTBD2","KBTBD2",1.35913072431038e-09,2.33294788827876e-05
"RNF139","RNF139",5.49819414605354e-14,9.43765025170089e-10
"GSTA4","GSTA4",3.81364398027052e-18,6.54611989213435e-14
"MSANTD4","MSANTD4",9.25022537637351e-07,0.0158780118585451
"MFN1","MFN1",1.72369850349726e-06,0.0295872848125305
"SOCS5","SOCS5",3.01372597031261e-08,0.00051730606280416
"C1GALT1C1","C1GALT1C1",7.3698034702644e-07,0.0126502676567089
"SHCBP1","SHCBP1",6.10957335079535e-08,0.00104870826566402
"ZNF440","ZNF440",4.67797016497592e-07,0.00802973578818116
"ESCO2","ESCO2",3.84814778998068e-10,6.60534568150183e-06
"LGALS4","LGALS4",8.45235700183102e-19,1.45084707936429e-14
"GATM","GATM",3.96787729668834e-07,0.00681086137976553
"METTL18","METTL18",2.52443450061208e-15,4.33319182030064e-11
"RRM2","RRM2",2.89297090812384e-11,4.96578456379457e-07
"EIF2AK3","EIF2AK3",1.06690848610265e-06,0.018313484163952
"KRCC1","KRCC1",1.46904270868756e-06,0.025216118094622
"SNTB1","SNTB1",2.17306055665705e-16,3.73005844550183e-12
"TEFM","TEFM",2.48439523240812e-06,0.0426446441642855
"C5orf34","C5orf34",7.11464716666729e-17,1.22122918615844e-12
"FUT9","FUT9",2.38930246144748e-10,4.10123767507461e-06
"MANEA","MANEA",5.49455399787673e-07,0.00943140193735541
"SMPDL3A","SMPDL3A",3.79865444133442e-19,6.52039034855054e-15
"ZNF680","ZNF680",2.05204171703175e-10,3.522329607285e-06
"GLRX","GLRX",4.20911339260322e-08,0.000722494313840343
"AGR3","AGR3",1.80575816316315e-37,3.09958388706955e-33
"MOB1B","MOB1B",2.36848580621348e-11,4.06550588636543e-07
"SULT1B1","SULT1B1",6.6361489782657e-09,0.000113909497211931
"MUC13","MUC13",1.12509248856252e-10,1.93122125661757e-06
"HEG1","HEG1",2.42108232415397e-09,4.15578780941029e-05
"ZNF791","ZNF791",8.75688579742177e-09,0.000150311944712745
"GPR160","GPR160",1.27253139969637e-17,2.18430014757881e-13
"EXO1","EXO1",1.13952055827388e-12,1.95598703827712e-08
"LIG4","LIG4",4.41778599499374e-09,7.58312966040676e-05
"UGT8","UGT8",4.29961196957382e-29,7.38028394577346e-25
"KIAA1551","KIAA1551",2.09836984306997e-10,3.60185183562961e-06
"PDE12","PDE12",1.13794617788541e-06,0.019532846143403
"GLMN","GLMN",1.72556373499182e-08,0.000296193015111346
"VCPIP1","VCPIP1",3.88971544694947e-07,0.00667669656468877
"PDIK1L","PDIK1L",2.38672786523672e-11,4.09681838067882e-07
"SMAD2","SMAD2",1.05622443653896e-08,0.000181300924531912
"KCNE3","KCNE3",1.00081006506137e-12,1.71789047667783e-08
"LYSMD3","LYSMD3",1.2635505631966e-08,0.000216888454172696
"GPX2","GPX2",1.31987110120217e-34,2.26555874521352e-30
"BNIP3","BNIP3",2.64775125447402e-23,4.54486502830466e-19
"B3GNT5","B3GNT5",2.4561132816546e-07,0.00421591844796012
"PNMA1","PNMA1",6.78781817941765e-10,1.16512899049704e-05
"MTX3","MTX3",7.3911969958237e-07,0.0126869896433314
"SLC38A9","SLC38A9",4.27339968657538e-11,7.33529056200664e-07
"ANO6","ANO6",5.4417655460646e-10,9.34079055981988e-06
"THAP5","THAP5",1.15515790078469e-07,0.00198282853669692
"ZNF518A","ZNF518A",8.4615421889147e-07,0.0145242371672721
"ZBTB41","ZBTB41",1.95463798813141e-08,0.000335513610662757
"GEN1","GEN1",8.77988895328655e-14,1.50706793883164e-09
"KLHL11","KLHL11",1.15387686142729e-08,0.000198062963263995
"CA8","CA8",8.78023859616938e-07,0.0150712795503247
"KCTD12","KCTD12",4.09561703233609e-07,0.0070301266360049
"RMI1","RMI1",6.80504530421954e-07,0.0116808602646928
"ELMOD2","ELMOD2",8.67739063523737e-17,1.4894741025385e-12
"BBS10","BBS10",8.09500170612918e-10,1.38950704285707e-05
"ZNF816","ZNF816",7.97100812753339e-07,0.0136822354509111
"HIST1H2AC","HIST1H2AC",1.74959909358295e-16,3.00318684413514e-12
"YOD1","YOD1",8.53638169691157e-12,1.46526991827487e-07
"TMEM64","TMEM64",2.71497423469866e-12,4.66025327386026e-08
"CLRN3","CLRN3",1.24368368577111e-06,0.021347830466261
"SLC36A4","SLC36A4",2.78651624589797e-12,4.78305513608386e-08
"ZNF443","ZNF443",4.1224969977339e-09,7.07626609661024e-05
"CMTR2","CMTR2",1.01513095112364e-12,1.74247227760373e-08
"TCEAL8","TCEAL8",9.53339754949836e-09,0.000163640768937139
"GPR137C","GPR137C",6.9729555885562e-07,0.0119690782677567
"ZFP82","ZFP82",2.78121978276034e-08,0.000477396375710813
"DDX60L","DDX60L",4.74242990248225e-11,8.14038092761078e-07
"FANCB","FANCB",1.63756326361901e-09,2.81087734200203e-05
"C5orf30","C5orf30",1.67677509036653e-08,0.000287818444261415
"AP1S2","AP1S2",8.99311027244905e-10,1.54366737826588e-05
"TRAPPC6B","TRAPPC6B",1.04056792567554e-09,1.78613484442207e-05
"CEP97","CEP97",7.61145133057853e-08,0.0013065056208938
"NDN","NDN",2.02189800109911e-16,3.47058791888661e-12
"C16orf72","C16orf72",1.61564324729686e-08,0.000277325163398506
"CADM1","CADM1",2.9885537840455e-10,5.1298525703141e-06
"CEP57L1","CEP57L1",1.29986366920474e-09,2.23121598818993e-05
"ZNF730","ZNF730",1.24291245909629e-06,0.0213345923603878
"ALDH1A3","ALDH1A3",6.44576272538282e-17,1.10641517181196e-12
"KNTC1","KNTC1",3.22688478305535e-08,0.000553894773011451
"ZFP1","ZFP1",3.5323324971872e-09,6.06324873142183e-05
"ZNF93","ZNF93",1.00745929622401e-13,1.72930388196851e-09
"CDCA2","CDCA2",1.84402920892495e-08,0.000316527613711968
"CA13","CA13",8.04432376232461e-09,0.000138080817380302
"WBP5","WBP5",7.74387749678976e-10,1.32923657232396e-05
"ARL15","ARL15",1.46234331724184e-21,2.51011230404561e-17
"KRT6B","KRT6B",9.10509429726818e-11,1.56288943612608e-06
"PARPBP","PARPBP",7.25086205827184e-19,1.24461047230236e-14
"MYBL1","MYBL1",5.52123209889926e-18,9.47719489776058e-14
"DNAH14","DNAH14",2.08944934680605e-10,3.58653980379259e-06
"THNSL1","THNSL1",2.99571768469116e-07,0.00514214940577238
"ZNF267","ZNF267",4.50748408352595e-10,7.73709642937229e-06
"ZNF566","ZNF566",1.726724756067e-06,0.0296392304378901
"MKL2","MKL2",8.36031747850072e-08,0.00143504849518465
"CYP4F3","CYP4F3",5.83042129176724e-09,0.000100079181473185
"TMEM17","TMEM17",3.54139674959164e-09,6.07880752067406e-05
"ZDHHC17","ZDHHC17",1.53577049751933e-06,0.0263615005899193
"AKR1C1","AKR1C1",3.17370916058482e-27,5.44767177414384e-23
"SESTD1","SESTD1",1.86400699784466e-09,3.19956801180035e-05
"DYNC2H1","DYNC2H1",9.693057406139e-07,0.0166381330376376
"TAF9B","TAF9B",6.53878040139839e-12,1.12238165590003e-07
"COL4A1","COL4A1",1.41479688187661e-08,0.00024284988477412
"FANCM","FANCM",1.13958219005258e-09,1.95609282922525e-05
"MORN2","MORN2",5.67573357837433e-10,9.74239668727954e-06
"UBQLN2","UBQLN2",8.50271209277084e-07,0.0145949053072411
"PLA2G2A","PLA2G2A",4.42234400548062e-12,7.59095348540749e-08
"ZNF669","ZNF669",8.8906512473433e-07,0.0152608028660648
"ZNF559","ZNF559",1.48699004061095e-11,2.5524184047087e-07
"DPYD","DPYD",3.62584009421948e-07,0.00622375452172774
"SMIM15","SMIM15",2.30669147072707e-09,3.95943590950302e-05
"ZNF567","ZNF567",9.85584714634197e-15,1.6917561626696e-10
"RNFT1","RNFT1",3.50487271396129e-08,0.000601611401351455
"FAM111B","FAM111B",1.81662067521854e-16,3.11822938901263e-12
"ZNF573","ZNF573",7.20614458934353e-07,0.0123693471876082
"FAM47E","FAM47E",4.74030446940139e-08,0.000813673262172749
"ZNF33A","ZNF33A",3.08431396773713e-07,0.00529422492562078
"ZNF600","ZNF600",1.87865866334222e-07,0.00322471759562692
"SYCP2","SYCP2",4.16754965117038e-07,0.00715359897623395
"IL1RAP","IL1RAP",2.22310380281404e-06,0.038159576775303
"ZNF681","ZNF681",1.74270774340557e-09,2.99135784155566e-05
"CTSE","CTSE",3.00259120083037e-20,5.15394779622532e-16
"ZNF140","ZNF140",2.55536885318621e-07,0.00438629063649413
"ZNF124","ZNF124",1.56513731168097e-08,0.000268655819550039
"ZNF799","ZNF799",9.22871430276097e-08,0.00158410881006892
"SPTSSB","SPTSSB",4.24319798470823e-10,7.28344934075167e-06
"MMP1","MMP1",3.52807124953946e-12,6.05593429983448e-08
"ZNF136","ZNF136",1.80340652875105e-07,0.00309554730660118
"ZNF33B","ZNF33B",7.08466899702744e-15,1.21608343333976e-10
"SLC39A10","SLC39A10",2.77004129074607e-06,0.0475477587556563
"ZNF138","ZNF138",8.56781579224622e-09,0.000147066558073906
"ZNF441","ZNF441",7.80150694309844e-11,1.33912866678285e-06
"ZNF420","ZNF420",2.268869456351e-06,0.0389451442182649
"ZMYM1","ZMYM1",6.54084602123929e-10,1.12273621954572e-05
"PGAP1","PGAP1",5.39666245678165e-09,9.26337110706571e-05
"ACSL5","ACSL5",8.26803707315135e-18,1.41920856360643e-13
"LRRC8B","LRRC8B",1.35554415618156e-09,2.32679154408565e-05
"MAGEA6","MAGEA6",2.0000036876629e-09,3.43300632987336e-05
"ZNF655","ZNF655",2.24818522699424e-06,0.0385900994213562
"ZNF675","ZNF675",7.32062404008889e-13,1.25658511648126e-08
"MYO5A","MYO5A",7.51972084122522e-12,1.29076008239631e-07
"TTC30A","TTC30A",2.15694572048671e-06,0.0370239732921544
"PIGN","PIGN",4.63471464658088e-09,7.95548769085608e-05
"C5orf42","C5orf42",1.7945082006178e-06,0.0308027332636046
"ZNF44","ZNF44",8.82757174892295e-12,1.51525269070262e-07
"NKIRAS1","NKIRAS1",2.27088137336826e-07,0.00389796787738661
"ZNF823","ZNF823",1.08136055535107e-13,1.85615539326012e-09
"ZNF273","ZNF273",6.35501922551053e-07,0.0109083905005888
"ZNF84","ZNF84",6.24156508229968e-13,1.07136464637674e-08
"PRIM1","PRIM1",3.75720474418509e-07,0.00644924194339371
"AKR1B10","AKR1B10",2.17901353075692e-42,3.74027672554425e-38
"NUP62CL","NUP62CL",1.62521328502126e-08,0.000278967860373899
"ZNF334","ZNF334",9.19197329187967e-09,0.000157780221555115
"HSD17B11","HSD17B11",1.96163106445755e-06,0.0336713972214139
"ZNF442","ZNF442",1.21598314785137e-07,0.00208723507328688
"ZNF26","ZNF26",1.11330367295631e-06,0.019109857546295
"SH3BGRL2","SH3BGRL2",3.31434079968591e-11,5.68906598266087e-07
"ZNF43","ZNF43",6.51654862715327e-10,1.11856557185086e-05
"WDHD1","WDHD1",4.33921980742493e-09,7.4482707994449e-05
"PAPSS2","PAPSS2",5.20515506078224e-11,8.93464866183272e-07
"SLC9A6","SLC9A6",1.8651108365281e-07,0.00320146275090049
"EIF1AY","EIF1AY",1.2050516563995e-32,2.06847116820975e-28
"ECI2","ECI2",8.87187210702992e-08,0.00152285684717169
"F5","F5",1.92253346344129e-28,3.30002868999698e-24
"SLC5A3","SLC5A3",1.07556091132155e-07,0.00184620030428344
"CCDC152","CCDC152",5.50523034801044e-07,0.00944972789235992
"PRMT6","PRMT6",2.01178954090705e-07,0.00345323674696696
"CAPZA2","CAPZA2",6.58414223456308e-09,0.000113016801456275
"DZIP3","DZIP3",1.73778859626962e-08,0.000298291412549679
"DCLRE1A","DCLRE1A",6.75907192782198e-09,0.000116019469641064
"PJA2","PJA2",9.91656782545057e-10,1.70217886723859e-05
"RP11.332M2.1","RP11.332M2.1",4.74598504368522e-11,8.14648332748568e-07
"CHML","CHML",2.2817757530755e-07,0.00391666808015409
"EFCAB7","EFCAB7",1.26880493455622e-07,0.00217790367016576
"ZNF468","ZNF468",7.17757979820494e-07,0.0123203157236188
"ZNF616","ZNF616",5.59906868443804e-07,0.0096108013968379
"RANBP17","RANBP17",1.85362394898255e-06,0.0318174550842854
"TRIQK","TRIQK",1.95734561838876e-07,0.00335978375396431
"C4orf46","C4orf46",3.92863340321315e-13,6.74349923661537e-09
"SAMD9","SAMD9",1.93303808674372e-14,3.31805987589559e-10
"CNEP1R1","CNEP1R1",3.49149534527707e-14,5.99315176016808e-10
"SERPINB5","SERPINB5",1.39251022481406e-09,2.39024380089333e-05
"VGLL3","VGLL3",3.23486053476614e-08,0.000555263810792608
"ZNF254","ZNF254",2.11138726813379e-08,0.000362419624575166
"CHUK","CHUK",2.33287887500784e-09,4.00438658895097e-05
"MAGEA12","MAGEA12",4.94494613654525e-14,8.48800004337993e-10
"ZNF845","ZNF845",4.62556007277789e-19,7.93977386492325e-15
"HAUS3","HAUS3",4.42496348259533e-09,7.59544981787488e-05
"FASTKD5","FASTKD5",2.02648064942148e-11,3.47845403473197e-07
"UMAD1","UMAD1",1.68991739344158e-08,0.000290074320584247
"MAGEA3","MAGEA3",1.81697014284483e-11,3.11882925019315e-07
"ZNF880","ZNF880",1.00905029051182e-09,1.73203482366355e-05
"XKR9","XKR9",1.71824514973743e-08,0.00029493677995243
"AC114812.8","AC114812.8",2.5058781074707e-13,4.30133977147346e-09
"AC020571.3","AC020571.3",2.23388188090371e-08,0.000383445824857122
"MIR181A1HG","MIR181A1HG",5.86855531888632e-14,1.00733752048684e-09
"LINC.PINT","LINC.PINT",4.54456231983499e-07,0.00780074122199676
"PHGR1","PHGR1",1.28726789576299e-13,2.20959534307718e-09
"TTTY15","TTTY15",9.47173777697012e-07,0.0162582378941692
"RP11.30P6.6","RP11.30P6.6",8.84198421888575e-07,0.0151772659117174
"MAGI2.AS3","MAGI2.AS3",1.14364541381287e-07,0.00196306735280978
"ZNF542P","ZNF542P",1.92110613616473e-10,3.29757868272676e-06
"PPIL3","PPIL3",2.934652159031e-08,0.000503733043097671
"LINC00973","LINC00973",3.69241441373833e-08,0.000633802934118184
"ZNF512","ZNF512",6.14758309878346e-07,0.0105523263890618
"CASC9","CASC9",4.18596839476025e-07,0.00718521474960596
"RP11.4K16.2","RP11.4K16.2",2.63571982838387e-10,4.52421308542091e-06
"ZNF260","ZNF260",1.3219424982322e-18,2.26911429821557e-14
"FPGT","FPGT",7.73423353993163e-11,1.32758118712926e-06
"RP11.702H23.6","RP11.702H23.6",1.44447721623783e-07,0.00247944514167224
"ZNF271P","ZNF271P",4.91477722323334e-07,0.00843621510368002
"RP11.1143G9.4","RP11.1143G9.4",4.36146345867235e-07,0.00748645202681109
"RP11.66B24.4","RP11.66B24.4",7.58988531372383e-14,1.3028038141007e-09
"RP11.156E6.1","RP11.156E6.1",1.17270037167345e-15,2.01294018797747e-11
"CTD.2033A16.1","CTD.2033A16.1",6.92543620488776e-08,0.00118875112456898
"RP11.311F12.2","RP11.311F12.2",4.82742019925134e-07,0.00828626677201493
"RP11.49K24.8","RP11.49K24.8",1.42232107771803e-06,0.02441414129903
"AC006262.5","AC006262.5",6.63764324389972e-13,1.13935146281539e-08
"MIR222HG","MIR222HG",5.11407982599363e-07,0.00877831802131806
"RP4.568C11.4","RP4.568C11.4",4.01083494708666e-08,0.000688459818667425
"PIGW","PIGW",8.23557686098424e-15,1.41363676818794e-10
"ZNF670","ZNF670",2.66087363293661e-16,4.56738959093568e-12
"EBLN3","EBLN3",1.05537058383651e-06,0.0181154360715537
